TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.samples.svg.SVGCreateFromFileTool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5974624060150375,246,90,34,17,0.29473684210526313,0.2857142857142857,0.5714285714285714,000111001111110000000000000000000000100101,10,53,0.12903225806451613
org.jhotdraw.samples.svg.gui.MessagePanel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.927363782051282,155,116,8,4,0.75,0.4666666666666667,1.0,011111100100000,4,22,0.12121212121212122
org.jhotdraw.samples.svg.gui.ProgressIndicator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9598021582733813,295,283,8,4,0.95,0.875,1.0,111111111111111111110100,23,56,0.5539568345323741
org.jhotdraw.action.AbstractViewAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.48014753159856416,302,126,40,20,0.5357142857142857,0.47058823529411764,0.4583333333333333,110100000111000011010100001101100000000111101110111,9,40,0.14432989690721648
