TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.samples.svg.SVGCreateFromFileTool,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.570533916,222,71,28,14,0.25,0.243243243,0.642857143,1.111E+33,8,46,0.125
org.jhotdraw.samples.svg.gui.MessagePanel,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.966124661,127,123,0,0,0.951219512,0.888888889,1,11111111,5,14,0.122807018
org.jhotdraw.samples.svg.gui.ProgressIndicator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.959802158,293,281,8,4,0.95,0.875,1,1.11111E+23,21,47,0.54676259
org.jhotdraw.action.AbstractViewAction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.480047532,290,120,24,16,0.525714286,0.430588235,0.358333333,1.101E+50,7,25,0.144029897
