TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jhotdraw.gui.ToolBarLayout,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8674978956228957,381,290,32,16,0.875,0.95,0.5185185185185185,1111111111111111111111111110111111111011,23,74,0.37438423645320196
org.jhotdraw.draw.AttributeKeys,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6485760733212156,668,314,98,49,0.5454545454545454,0.42,0.41509433962264153,1111100011111001010101100000000000011001010110010111101010010110010000000000000000010110010101100111,29,50,0.3506156837329877
org.jhotdraw.io.Base64,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8483795331086325,1541,1288,146,73,0.8,0.7672955974842768,0.6111111111111112,111111111111101111111111101111111111111111011111111111111111111111110000000101000111111011101000100011111111011000000000000111001111111111111111111111111111111,69,1016,0.2404833836858006
